,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
Hospitals,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2632,---,---,---,---,---,---,---,---,---,---,---,---,2632,1249051,---,---,---,---,---,7617,---,---,---,---,---,---,---,---,---,---,---,---,1259300
Nursing and residential care facilities,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2839,---,468,---,3307,261205,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,264513
Social assistance,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,9568,---,9568,252111,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,261680
"Performing arts, spectator sports, museums, and related activities",98,0,1,---,21,184,223,26,49,49,99,72,3,5,42,30,17,53,160,9,5,48,55,104,51,131,3138,1050,779,71,1242,67,201,---,270,13,---,615,62,299,9505,14228,860,895,1204,701,206,0,9010,457,966,742,8786,3305,4263,164,2062,1212,1028,254,382,24688,926,300,1878,3539,1076,56,46,2141,40,104263,61313,---,6284,---,---,---,1446,---,---,---,---,---,---,---,---,---,---,---,---,173305
"Amusements, gambling, and recreation industries",31,0,---,1,14,91,193,9,20,13,38,25,2,2,15,11,8,20,48,2,0,13,18,19,20,28,571,6,83,3,705,0,1,---,---,---,---,15,3,66,36,163,328,216,363,118,26,22,924,90,233,265,944,942,1355,56,83,521,25,52,85,107,18,267,509,297,227,5,1,1148,307,11830,192367,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,204197
Accommodation,2,---,4,9,76,760,281,52,114,75,211,152,11,15,90,61,49,117,271,16,9,75,143,108,124,184,1308,12,54,27,234,---,10,---,---,---,10,934,108,405,260,1016,1982,1353,2276,715,167,868,5710,726,1129,1603,4808,512,6373,438,341,2134,160,191,289,72,99,217,1051,726,525,414,25,2056,100,44449,161144,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,205592
Food services and drinking places,469,32,78,49,278,3162,607,156,295,234,519,413,31,63,244,154,116,287,853,61,32,225,248,477,309,422,7099,1013,1308,1121,6284,15107,7,32,3208,150,125,3916,297,789,777,2033,3940,4368,4976,5725,837,8628,36940,2401,4321,4279,25620,4763,24062,830,1620,23801,16219,9584,2753,584,2129,6788,5535,5127,423,259,706,15959,658,276918,903493,---,---,---,---,---,1755,---,---,---,---,---,---,---,---,---,---,---,---,1182166
"Other services, except government",394,315,270,127,352,755,11492,431,1036,1188,1902,1023,244,219,1328,313,204,541,2792,220,52,1625,570,1703,3194,1340,40340,2447,4502,2855,17068,347,165,19,12627,1321,415,4577,1807,688,243,4419,6466,4725,4548,10446,788,90,9774,8573,1839,1008,13019,8772,15241,2858,1836,6099,19673,1562,1146,740,1092,2273,17288,9389,2985,667,934,45726,2756,329784,631191,---,---,---,---,---,93,---,---,---,---,---,---,---,---,---,---,---,---,961068
Federal general government (defense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,713008,---,---,---,---,---,---,---,---,---,---,---,713008
Federal general government (nondefense),---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,533783,---,---,---,---,---,---,---,533783
Federal government enterprises,9,2,---,3,---,207,5,---,---,5,23,193,0,92,---,---,---,19,---,1,---,---,39,64,36,---,12649,410,358,237,4472,3,---,1635,10252,121,118,1472,333,416,317,231,1530,1103,13318,117,---,1,315,515,321,150,2348,127,1213,112,243,635,1471,191,306,77,59,477,2909,1078,0,140,1,1259,121,63857,5709,---,---,---,---,---,874,---,---,---,---,---,---,---,---,---,---,---,---,70439
State and local general government,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2106940,---,---,---,2106940
State and local government enterprises,---,3,---,---,---,4453,---,27,108,129,127,80,17,26,84,28,22,49,585,45,11,119,31,328,779,108,1204,267,315,157,1202,1,---,---,434,7,20,268,536,93,43,187,107,207,175,97,---,---,942,988,613,169,2241,407,2211,143,99,655,1052,283,3174,40,246,482,1812,998,440,535,101,6357,962,37430,77737,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,115166
"Scrap, used and secondhand goods",-83,147,---,-11,1925,10958,4059,---,158,37460,502,6,---,---,---,---,---,0,---,49,---,5252,---,---,90,93,---,15,---,---,471,-3458,---,-112,-853,3,92,2346,2,---,0,1,---,---,---,---,---,---,---,-44,---,---,---,1156,---,---,534,2,---,---,---,-70,988,---,---,5089,-9,---,---,---,---,66761,288607,-151703,---,-1043,-3285,-13381,51762,---,72,---,-4,---,12084,---,-576,---,8466,---,4907,262669
Noncomparable imports and rest-of-the-world adjustment,689,61,1131,14,283,1059,1660,146,192,470,590,1007,3679,281,1484,646,125,304,1466,110,35,383,211,3585,1716,425,5267,40,429,663,3342,16419,167,2117,1179,10,18,388,72,523,241,7064,974,1492,44191,986,72,1772,2482,951,158,728,2495,1047,1327,43,522,---,---,208,---,224,278,993,1863,388,6365,4360,827,---,---,134438,-6631,---,16684,---,---,---,77670,---,---,---,---,---,---,---,---,---,---,---,---,222160
Total Intermediate,301930,17546,216514,47722,30342,265522,1019148,88246,76092,185452,231736,240133,68387,76507,574495,151186,48129,82447,730900,34546,14235,129544,41789,478567,407691,161838,981391,99798,112754,115633,647046,103966,42208,31763,283512,27091,18053,174387,86352,103036,80213,449032,307884,182711,388750,764212,161103,293610,1004609,143482,119610,128712,765447,284808,566608,61804,121929,375414,476463,96224,102795,60676,55313,98281,511459,286194,274370,222883,24184,913356,219909,18089683,15902575,1194044,1232744,1107582,598223,-19091,2179415,713008,95451,84473,11089,533783,24944,133191,13216,2106940,48729,48680,347215,44445892
Compensation of employees,31511,29853,24826,18534,23948,93294,635566,28148,33190,33889,107966,101965,183744,40560,80207,84679,23500,60795,134314,12358,7262,32368,24722,20164,119056,54768,605994,155664,115199,110753,363868,58505,20227,7297,118572,24464,8254,126402,93393,221340,42938,117427,126152,347745,316460,323673,4060,23438,124414,39775,157836,374959,774844,392407,504904,37380,225927,674729,466161,154782,148628,61598,57464,78099,341147,350173,292985,213818,65613,1519644,118844,12549140,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Other taxes on production,11195,1483,27338,3297,2237,39202,10699,789,1714,2863,3432,4144,9649,1342,4180,3427,448,1888,7940,691,324,2014,841,4223,16717,1900,15335,4183,3955,3999,14292,4324,1645,992,4834,1039,4141,2768,975,5938,4301,3680,4816,20164,5355,7894,617,305709,32235,10107,1457,2467,11676,9446,4934,2286,10162,9532,14015,4161,1411,3167,4448,7196,5020,12331,---,---,---,---,---,730987,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Less: Other subsidies on production,7888,1042,563,437,2336,591,34882,878,764,821,6004,3465,1714,799,1347,1235,1324,2653,3329,455,917,325,2020,203,1631,1056,11163,6933,2999,1661,11485,21758,50,554,4172,3523,35,2019,397,1963,3362,943,825,1951,710,1740,81,0,4795,1537,5369,4390,19245,995,10419,739,5247,33930,5477,3812,10275,13343,3444,10330,68830,19574,---,---,---,---,---,378750,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Gross operating surplus,147685,10928,176495,37032,9432,214790,331437,33594,35916,40998,56416,71692,141845,26716,75417,69809,8837,40179,161579,5098,1624,28062,13338,104831,301546,29258,547472,69227,40503,16292,247909,26309,24628,4944,72694,19629,32692,42465,4525,168154,42857,323705,213884,521221,77135,276669,26760,1807130,412514,192626,127240,45042,341025,45595,172795,24443,37728,197086,82799,9297,16311,74571,15453,61921,186947,110589,176789,135748,11642,246952,78014,9584486,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Value Added (basic prices),182502,41221,228096,58426,33281,346695,942821,61653,70057,76928,161810,174336,333525,67820,158456,156680,31461,100209,300504,17692,8294,62119,36882,129015,435689,84871,1157638,222141,156658,129384,614583,67379,46449,12678,191928,41609,45053,169618,98496,393470,86734,443869,344027,887179,398240,606496,31355,2136276,564369,240971,281164,418078,1108301,446453,672215,63371,268570,847416,557497,164428,156075,125992,73922,136886,464283,453519,469774,349566,77255,1766596,196858,22485863,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Total industry output (basic prices),484432,58768,444610,106148,63623,612217,1961969,149899,146149,262381,393546,414469,401911,144326,732951,307867,79590,182657,1031404,52238,22529,191663,78671,607582,843380,246709,2139029,321939,269412,245017,1261629,171345,88657,44442,475440,68700,63106,344004,184849,496506,166947,892901,651911,1069890,786990,1370708,192459,2429886,1568978,384454,400774,546790,1873748,731261,1238822,125175,390500,1222830,1033961,260652,258870,186668,129234,235167,975743,739712,744145,572449,101439,2679952,416766,40575547,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Taxes on products and imports,---,640,11120,2816,197,31741,2482,157,168,158,331,274,509,170,231,141,53,194,22072,17,16,140,63,324,3923,236,286859,58617,27975,45393,136376,16926,830,168,590,1249,76,385,210,1654,1274,39732,2496,3514,1609,30806,64,---,1758,14809,22027,6505,7423,1871,7930,2174,1156,2089,3274,3672,1386,4579,14521,25542,59747,16333,---,---,---,---,639,932411,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Less: Subsidies on products,17796,---,---,---,---,---,---,---,---,---,---,---,---,336,---,---,---,---,---,20,---,---,---,---,19,---,---,---,---,---,---,281,5126,1,0,---,---,---,---,---,---,0,---,276,---,---,---,21786,9738,---,---,---,---,---,---,---,---,---,9,---,---,---,---,---,---,---,---,---,9083,---,38725,103194,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Value Added (producer prices),164706,41862,239216,61242,33477,378436,945303,61811,70225,77086,162141,174610,334033,67654,158687,156822,31513,100403,322576,17689,8310,62260,36946,129339,439593,85107,1444497,280758,184632,174777,750960,84025,42153,12846,192517,42858,45129,170002,98706,395124,88008,483601,346524,890417,399849,637302,31420,2114490,556388,255780,303191,424583,1115723,448324,680145,65545,269726,849505,560762,168100,157461,130571,88443,162428,524030,469851,469774,349566,68172,1766596,158772,23315081,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
