,111CA,113FF,211,212,213,22,23,321,327,331,332,333,334,335,3361MV,3364OT,337,339,311FT,313TT,315AL,322,323,324,325,326,42,441,445,452,4A0,481,482,483,484,485,486,487OS,493,511,512,513,514,521CI,523,524,525,HS,ORE,532RL,5411,5415,5412OP,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFGD,GFGN,GFE,GSLG,GSLE,T001,F010,F02E,F02N,F02R,F02S,F030,F040,F06C,F06E,F06N,F06S,F07C,F07E,F07N,F07S,F10C,F10E,F10N,F10S,T019
"Electrical equipment, appliances, and components",7439,254,265,122,852,28,76713,3079,247,1809,3901,20624,1495,14561,10944,1968,122,1667,1267,99,16,687,206,164,1345,2144,1847,376,143,1626,951,1,434,26,75,96,1,42,173,4,---,9106,754,102,112,18,---,416,2308,334,0,2034,8579,143,3459,1330,1516,20,680,1243,646,51,340,891,1394,7702,2951,3029,68,1596,5358,213994,119397,51902,---,12116,---,2515,36845,---,465,---,---,---,7,---,---,---,790,---,---,438031
"Motor vehicles, bodies and trailers, and parts",1029,107,1585,786,327,57,3778,847,965,730,1471,16481,242,331,260384,4623,439,720,3546,101,4,1504,341,199,1732,705,10104,7573,2344,389,10245,---,76,---,5097,313,0,230,4527,339,163,872,285,51,25,---,---,---,---,1819,---,59,5556,1150,10675,1624,395,468,1187,125,1924,215,139,213,1209,18877,4839,82,948,8331,728,406229,433879,308528,---,---,---,-21773,107803,---,44832,---,---,---,12220,---,---,---,27004,---,---,1318722
Other transportation equipment,---,57,---,8,---,---,3,18,---,---,80,174,---,---,363,59785,---,---,---,---,---,---,---,---,---,---,13,74,---,---,---,678,1774,1618,0,47,---,2756,---,---,---,10,---,---,---,---,---,---,---,---,---,---,707,12,221,123,---,---,---,---,0,---,0,---,---,419,65828,2428,4,0,134,137333,49870,53088,---,---,---,-10942,78696,---,37079,---,---,---,264,---,---,---,1628,---,---,347016
Furniture and related products,0,---,---,---,---,---,27931,195,1,---,---,176,26,1,26,140,3820,70,---,---,---,1,---,---,---,244,829,249,---,4,2665,---,---,0,---,---,---,3,---,1,---,181,573,---,---,---,---,9991,93,---,24,3,615,4,4,---,---,579,92,1,114,124,169,2,412,226,---,---,1387,14,49,51038,170308,46314,---,1435,---,-458,4354,---,0,---,---,---,0,---,---,---,326,---,---,273316
Miscellaneous manufacturing,60,3,72,39,17,---,1203,11,143,38,68,3021,2,790,2392,70,7,9074,8,146,239,0,8,0,387,183,1188,372,149,3,1601,0,2,---,8,11,0,330,538,5,6,210,133,74,92,27,---,3,245,56,50,5,4346,24,2811,583,428,23515,20860,1722,2856,56,212,42,804,1563,473,976,---,22962,125,107445,388398,84807,---,---,---,8190,44254,---,13,---,---,---,2,---,---,---,591,---,---,633700
Food and beverage and tobacco products,54309,374,---,---,---,---,---,43,320,6,---,---,---,---,---,---,---,9,206825,6,1409,1410,1092,615,4683,225,4300,2,4104,1179,1364,1179,2,410,90,---,---,94,---,54,6,---,196,---,---,---,---,---,---,---,---,---,6433,49,0,---,6534,14,8663,5621,11977,922,5278,7907,95181,2652,2430,116,592,75709,---,514382,1253107,---,---,---,---,3745,89139,---,---,---,---,---,---,---,---,---,---,---,---,1860372
Textile mills and textile product mills,28,18,---,1,---,---,3167,536,531,---,---,1287,0,0,3770,556,3179,2530,120,8535,3728,4338,447,109,7,2645,4316,97,152,7807,3643,---,---,38,14,---,1,62,1,4,233,9,8,---,---,---,---,12,210,181,---,---,501,11,407,228,62,115,903,3780,1654,0,137,2891,651,472,702,419,3,4480,31,69765,106715,3331,---,2666,---,2783,10428,---,---,---,---,---,1,---,---,---,0,---,---,195690
Apparel and leather and allied products,74,---,---,---,---,0,---,---,0,---,---,---,---,---,1982,---,---,202,13,63,1593,---,76,6,---,0,672,13,0,204,251,---,---,---,---,---,---,---,---,0,0,7,0,---,---,---,---,---,---,0,---,---,31,0,204,115,3,3,13,---,1,29,20,6,0,700,27,12,229,2334,42,8927,472549,---,---,---,---,4451,6082,---,---,---,---,---,---,---,---,---,---,---,---,492009
Paper products,492,0,169,207,51,60,6951,625,1863,1285,2775,2173,255,1265,4039,591,1299,2425,35026,591,148,39935,7046,386,7255,5337,11041,203,2688,697,4024,33,123,4,232,1984,18,5575,559,1750,211,1055,478,925,1003,394,4,37,1966,875,848,466,6942,1666,5466,418,359,1310,3045,1207,1350,169,244,3571,5287,1747,162,1664,44,16613,46,210750,53092,---,---,---,---,1596,24891,---,---,---,---,---,---,---,---,---,---,---,---,290329
Printing and related support activities,11,---,7,1,---,3,84,2,---,---,0,3,---,0,3,---,---,---,96,---,10,---,1063,1,183,---,9820,127,219,157,7477,11,9,---,748,45,1,362,10,6889,994,293,5766,718,1704,2055,---,---,216,278,857,233,8070,1291,3461,18,981,1459,2292,127,1359,480,234,701,775,2518,379,867,7,11054,607,77137,8082,---,---,---,---,2816,2463,---,---,---,---,---,---,---,---,---,---,---,---,90498
